firm,level,amount,medianPercent,diffMedian
GR1,1,0.18,0.2,-0.020000000000000018
PT10,1,0,0.2,-0.2
TL13,1,0.32,0.2,0.12
PT5,1,0.33,0.2,0.13
PB7,1,0.1,0.2,-0.1
PT11,1,0.32,0.2,0.12
AR2,1,0.2,0.2,0
TR7,1,0.3,0.2,0.09999999999999998
TR2,1,0,0.2,-0.2
AR6,1,0.4,0.2,0.2
TR8,1,0.18,0.2,-0.020000000000000018
AB5,1,0.3,0.2,0.09999999999999998
PB14,1,0.3,0.2,0.09999999999999998
AR7,1,0.2,0.2,0
TB6,1,0.2,0.2,0
TL9,1,0.2,0.2,0
PB8,1,0.2,0.2,0
PT3,1,0,0.2,-0.2
TT7,1,0.29,0.2,0.08999999999999997
GB1,1,0.15,0.2,-0.05000000000000002
GT1,1,0.19,0.2,-0.010000000000000009
GL1,1,0.25,0.2,0.04999999999999999
TL7,1,0.36,0.2,0.15999999999999998
AB6,1,0.35,0.2,0.14999999999999997
AB4,1,0.35,0.2,0.14999999999999997
PT12,1,0.2,0.2,0
AT7,1,0.19,0.2,-0.010000000000000009
AB3,1,0.2,0.2,0
PT13,1,0.36,0.2,0.15999999999999998
AB7,1,0.26,0.2,0.06
TL5,1,0.2,0.2,0
AT6,1,0,0.2,-0.2
PR3,1,0,0.2,-0.2
PR2,1,0.25,0.2,0.04999999999999999
AT3,1,0.29,0.2,0.08999999999999997
TL14,1,0.26,0.2,0.06
PR1,1,0,0.2,-0.2
PB1,1,0,0.2,-0.2
PB6,1,0.25,0.2,0.04999999999999999
AL3,1,0,0.2,-0.2
AT2,1,0.2,0.2,0
AR3,1,0.28,0.2,0.08000000000000002
PB3,1,0.2,0.2,0
PR4,1,0.38,0.2,0.18
AB2,1,0,0.2,-0.2
AT1,1,0,0.2,-0.2
TB5,1,0,0.2,-0.2
AT5,1,0,0.2,-0.2
TB7,1,0.4,0.2,0.2
PB9,1,0.2,0.2,0
W,1,0.28,0.2,0.08000000000000002
GR1,1e5,0.18,0.25,-0.07
PT10,1e5,0.39,0.25,0.14
TL13,1e5,0.32,0.25,0.07
PT5,1e5,0.33,0.25,0.08000000000000002
PB7,1e5,0.1,0.25,-0.15
PT11,1e5,0.32,0.25,0.07
AR2,1e5,0.2,0.25,-0.04999999999999999
TR7,1e5,0.3,0.25,0.04999999999999999
TR2,1e5,0.1,0.25,-0.15
AR6,1e5,0.4,0.25,0.15000000000000002
TR8,1e5,0.18,0.25,-0.07
AB5,1e5,0.3,0.25,0.04999999999999999
PB14,1e5,0.3,0.25,0.04999999999999999
AR7,1e5,0.2,0.25,-0.04999999999999999
TB6,1e5,0.2,0.25,-0.04999999999999999
TL9,1e5,0.2,0.25,-0.04999999999999999
PB8,1e5,0.2,0.25,-0.04999999999999999
PT3,1e5,0,0.25,-0.25
TT7,1e5,0.29,0.25,0.03999999999999998
GB1,1e5,0.15,0.25,-0.1
GT1,1e5,0.19,0.25,-0.06
GL1,1e5,0.25,0.25,0
TL7,1e5,0.36,0.25,0.10999999999999999
AB6,1e5,0.35,0.25,0.09999999999999998
AB4,1e5,0.35,0.25,0.09999999999999998
PT12,1e5,0.29,0.25,0.03999999999999998
AT7,1e5,0.19,0.25,-0.06
AB3,1e5,0.2,0.25,-0.04999999999999999
PT13,1e5,0.36,0.25,0.10999999999999999
AB7,1e5,0.26,0.25,0.010000000000000009
TL5,1e5,0.2,0.25,-0.04999999999999999
AT6,1e5,0,0.25,-0.25
PR3,1e5,0,0.25,-0.25
PR2,1e5,0.25,0.25,0
AT3,1e5,0.29,0.25,0.03999999999999998
TL14,1e5,0.26,0.25,0.010000000000000009
PR1,1e5,0,0.25,-0.25
PB1,1e5,0.05,0.25,-0.2
PB6,1e5,0.25,0.25,0
AL3,1e5,0,0.25,-0.25
AT2,1e5,0.2,0.25,-0.04999999999999999
AR3,1e5,0.28,0.25,0.030000000000000027
PB3,1e5,0.2,0.25,-0.04999999999999999
PR4,1e5,0.38,0.25,0.13
AB2,1e5,0.3,0.25,0.04999999999999999
AT1,1e5,0,0.25,-0.25
TB5,1e5,0,0.25,-0.25
AT5,1e5,0,0.25,-0.25
TB7,1e5,0.4,0.25,0.15000000000000002
PB9,1e5,0.3,0.25,0.04999999999999999
W,1e5,0.28,0.25,0.030000000000000027
GR1,125e3,0.18,0.25,-0.07
PT10,125e3,0.39,0.25,0.14
TL13,125e3,0.32,0.25,0.07
PT5,125e3,0.33,0.25,0.08000000000000002
PB7,125e3,0.1,0.25,-0.15
PT11,125e3,0.32,0.25,0.07
AR2,125e3,0.2,0.25,-0.04999999999999999
TR7,125e3,0.3,0.25,0.04999999999999999
TR2,125e3,0.15,0.25,-0.1
AR6,125e3,0.4,0.25,0.15000000000000002
TR8,125e3,0.18,0.25,-0.07
AB5,125e3,0.3,0.25,0.04999999999999999
PB14,125e3,0.3,0.25,0.04999999999999999
AR7,125e3,0.25,0.25,0
TB6,125e3,0.2,0.25,-0.04999999999999999
TL9,125e3,0.2,0.25,-0.04999999999999999
PB8,125e3,0.2,0.25,-0.04999999999999999
PT3,125e3,0,0.25,-0.25
TT7,125e3,0.29,0.25,0.03999999999999998
GB1,125e3,0.15,0.25,-0.1
GT1,125e3,0.19,0.25,-0.06
GL1,125e3,0.25,0.25,0
TL7,125e3,0.36,0.25,0.10999999999999999
AB6,125e3,0.35,0.25,0.09999999999999998
AB4,125e3,0.35,0.25,0.09999999999999998
PT12,125e3,0.29,0.25,0.03999999999999998
AT7,125e3,0.19,0.25,-0.06
AB3,125e3,0.2,0.25,-0.04999999999999999
PT13,125e3,0.36,0.25,0.10999999999999999
AB7,125e3,0.26,0.25,0.010000000000000009
TL5,125e3,0.2,0.25,-0.04999999999999999
AT6,125e3,0,0.25,-0.25
PR3,125e3,0,0.25,-0.25
PR2,125e3,0.25,0.25,0
AT3,125e3,0.29,0.25,0.03999999999999998
TL14,125e3,0.31,0.25,0.06
PR1,125e3,0,0.25,-0.25
PB1,125e3,0.05,0.25,-0.2
PB6,125e3,0.25,0.25,0
AL3,125e3,0,0.25,-0.25
AT2,125e3,0.2,0.25,-0.04999999999999999
AR3,125e3,0.33,0.25,0.08000000000000002
PB3,125e3,0.2,0.25,-0.04999999999999999
PR4,125e3,0.38,0.25,0.13
AB2,125e3,0.3,0.25,0.04999999999999999
AT1,125e3,0,0.25,-0.25
TB5,125e3,0,0.25,-0.25
AT5,125e3,0,0.25,-0.25
TB7,125e3,0.4,0.25,0.15000000000000002
PB9,125e3,0.4,0.25,0.15000000000000002
W,125e3,0.28,0.25,0.030000000000000027
GR1,15e4,0.22,0.25,-0.03
PT10,15e4,0.39,0.25,0.14
TL13,15e4,0.32,0.25,0.07
PT5,15e4,0.33,0.25,0.08000000000000002
PB7,15e4,0.1,0.25,-0.15
PT11,15e4,0.32,0.25,0.07
AR2,15e4,0.2,0.25,-0.04999999999999999
TR7,15e4,0.3,0.25,0.04999999999999999
TR2,15e4,0.2,0.25,-0.04999999999999999
AR6,15e4,0.4,0.25,0.15000000000000002
