id_code,firm,num_advisors,role_cat,Role,level,amount
GR1,GR1,>100,Advisor,Advisor,1,0.18
PT10,PT10,<25,Advisor,Financial Advisor,1,0
TL13,TL13_1,<25,Advisor,Financial Advisor (New),1,0.32
TL13,TL13_2,<25,Advisor,Financial Advisor (Composite),1,0.32
PT5,PT5,<25,Advisor,Advisor,1,0.33
PB9,PB9_1,25-100,Advisor,Advisor,1,0.2
PB7,PB7,25-100,Advisor,Advisor,1,0.1
PT11,PT11,<25,Advisor,Financial Advisor,1,0.32
AR2,AR2,>100,Advisor,Advisor,1,0.2
TR7,TR7,<25,Advisor,Investment Representative,1,0.3
TR2,TR2,25-100,Advisor,Financial Advisor,1,0
AR6,AR6_1,25-100,Advisor,KJM (Tier I) Representative,1,0.24
AR6,AR6_2,25-100,Advisor,MBE (Tier II) Representative,1,0.3
AR6,AR6_3,25-100,Advisor,SPG (Tier III) Representative,1,0.4
TR8,TR8,<25,Advisor,Financial Advisor,1,0.18
AB5,AB5,<25,Advisor,Financial Advisor,1,0.3
PB14,PB14,<25,Advisor,Financial Consultant,1,0.3
TB5,TB5_1,<25,Advisor,Wealth Advisor,1,0.42
AR7,AR7,25-100,Advisor,Financial Advisor,1,0.2
TB6,TB6,<25,Advisor,Financial Advisor,1,0.2
TB5,TB5_2,<25,Advisor,Financial Advisor,1,0
TL9,TL9,<25,Advisor,Registered Representative,1,0.2
PB8,PB8,25-100,Advisor,Investment Client Advisor,1,0.2
PT3,PT3,25-100,Advisor,Advisor,1,0
TT7,TT7,<25,Advisor,Financial Advisor,1,0.29
GB1,GB1_1,>100,Advisor,Branch Advisor,1,0.15
GB1,GB1_2,>100,Advisor,Hub Advisor,1,0.15
GT1,GT1_1,>100,Advisor,Traditional Advisor,1,0.2
GT1,GT1_2,>100,Advisor,Team Based (Partnered) Advisor,1,0.19
GL1,GL1,>100,Advisor,Advisor,1,0.25
TL7,TL7,25-100,Advisor,Advisor,1,0.36
AB6,AB6,25-100,Advisor,Advisor,1,0.35
AB4,AB4,25-100,Advisor,Retail Investment Sales Officer,1,0.35
PT12,PT12,<25,Advisor,Advisor,1,0.2
AT7,AT7_1,25-100,Advisor,Full Commission Advisor,1,0.3
AT7,AT7_2,25-100,Advisor,"""Guaranteed"" Advisor",1,0.19
AB3,AB3,25-100,Advisor,Financial Consultant,1,0.2
PT13,PT13,<25,Advisor,Financial Advisor,1,0.36
AB7,AB7,>100,Advisor,Financial Advisor/Associate FA,1,0.26
AT2,AT2_1,>100,Advisor,Advisor,1,0.25
TL5,TL5,<25,Advisor,Financial Advisor,1,0.2
AT6,AT6,>100,Advisor,Advisor,1,0
PR3,PR3,<25,Advisor,New Financial Advisor,1,0
PR2,PR2,25-100,Advisor,Advisor,1,0.25
AT3,AT3_1,>100,Advisor,Branch Advisor,1,0.25
AT3,AT3_2,>100,Advisor,Centralized Advisor,1,0.29
AT1,AT1_1,>100,Advisor,"""Grandfathered"" Advisor",1,0
AT1,AT1_2,>100,Advisor,Advisor,1,0
TL14,TL14_1,<25,Advisor,Advisor,1,0.26
PR1,PR1,25-100,Advisor,Advisor,1,0
PB1,PB1,<25,Advisor,Financial Advisor,1,0
TB7,TB7_1,<25,Advisor,New Financial Advisor,1,0.3
TB7,TB7_2,<25,Advisor,Financial Advisor,1,0.25
PB6,PB6,25-100,Advisor,Retail Financial Consultant,1,0.25
AT5,AT5_1,25-100,Advisor,Financial Consultant,1,0.01
AL3,AL3,25-100,Advisor,Wealth Advisor,1,0
AT2,AT2_2,>100,Sr. Advisor,Senior Advisor,1,0.2
AR3,AR3,>100,Sr. Advisor,Senior Advisor,1,0.28
PB3,PB3_1,25-100,Sr. Advisor,Senior Advisor,1,0.2
PB9,PB9_2,25-100,Sr. Advisor,Senior Advisor,1,0.2
PR4,PR4,<25,Sr. Advisor,Financial Consultant II,1,0.38
AB2,AB2,25-100,Sr. Advisor,Senior Investment Representative,1,0
AT1,AT1_3,>100,Sr. Advisor,Senior  Financial Advisor,1,0
